,households,name,latitude,longitude,geometry,GEOID
471670406013,827,RO - Southern Satellites,35.5447012,-89.6965958,POINT (-89.6965958 35.5447012),4716790168
471670406021,370,RO - Rooted Rural,35.5865704,-89.5998543,POINT (-89.5998543 35.5865704),4716790168
471670406022,599,FL - Middleburg,35.5256552,-89.637067,POINT (-89.637067 35.5256552),4716790358
471670406023,268,MG - Hardscrabble Road,35.5166924,-89.6882239,POINT (-89.6882239 35.5166924),4716791688
471670407001,607,MS - City Commons,35.5740318,-89.6494876,POINT (-89.6494876 35.5740318),4716790168
471670407002,243,HT - Traditional Living,35.5716643,-89.641344,POINT (-89.641344 35.5716643),4716790168
471670407003,290,GX - Midlife Constants,35.5611901,-89.6438131,POINT (-89.6438131 35.5611901),4716790358
471670407004,279,CCL - Heartland Communities,35.5561136,-89.6518806,POINT (-89.6518806 35.5561136),4716790358
471670407005,576,MS - City Commons,35.5448692,-89.6544836,POINT (-89.65448360000001 35.5448692),4716790358
471670408001,476,RO - Southern Satellites,35.419388,-89.6619694,POINT (-89.6619694 35.419388),4716791308
471670408002,1039,CCL - Green Acres,35.4582041,-89.6767957,POINT (-89.6767957 35.4582041),4716791308
471670409001,276,RO - Rooted Rural,35.5489293,-89.5552281,POINT (-89.55522809999999 35.5489293),4716790358
471670409002,321,RO - Southern Satellites,35.507665,-89.5138853,POINT (-89.5138853 35.507665),4716790358
471670410001,335,RO - Rural Bypasses,35.4421929,-89.5172548,POINT (-89.5172548 35.4421929),4716791308
471670410002,605,RO - Rural Bypasses,35.4282578,-89.5949695,POINT (-89.5949695 35.4282578),4716791308
471690901001,751,RO - Southern Satellites,36.4318143,-86.1919159,POINT (-86.1919159 36.4318143),4716991500
471690901002,840,RO - Southern Satellites,36.3645732,-86.2240127,POINT (-86.2240127 36.3645732),4716991120
471690901003,598,RO - Southern Satellites,36.3759597,-86.0867141,POINT (-86.08671409999999 36.3759597),4716990360
471690902001,496,HT - Small Town Simplicity,36.4045262,-86.1515921,POINT (-86.1515921 36.4045262),4716990740
471690902002,514,HT - Small Town Simplicity,36.3794295,-86.1607149,POINT (-86.1607149 36.3794295),4716990170
471710801001,634,RO - Rooted Rural,36.0730379,-82.4956026,POINT (-82.4956026 36.0730379),4717190172
471710801002,449,RO - Rooted Rural,36.031168,-82.5593139,POINT (-82.55931390000001 36.031168),4717190172
471710802001,592,CCL - Heartland Communities,36.1275277,-82.4036146,POINT (-82.4036146 36.1275277),4717190172
471710802002,529,RO - Rooted Rural,36.1241744,-82.430452,POINT (-82.430452 36.1241744),4717190172
471710802003,851,RO - Rooted Rural,36.1266955,-82.3909478,POINT (-82.39094780000001 36.1266955),4717190172
471710802004,599,RO - Rural Bypasses,36.1675462,-82.4080299,POINT (-82.4080299 36.1675462),4717190362
471710803001,1161,CCL - Salt of the Earth,36.2272258,-82.326193,POINT (-82.326193 36.2272258),4717190552
471710803002,267,RO - Southern Satellites,36.1920973,-82.3720559,POINT (-82.37205590000001 36.1920973),4717190552
471710803003,678,RO - Rooted Rural,36.1685972,-82.2936862,POINT (-82.2936862 36.1685972),4717190552
471710804001,369,HT - Small Town Simplicity,36.1375184,-82.4143024,POINT (-82.4143024 36.1375184),4717190362
471710804002,430,CCL - Heartland Communities,36.1383592,-82.4208977,POINT (-82.4208977 36.1383592),4717190172
471710804003,263,CCL - Heartland Communities,36.1471244,-82.4125212,POINT (-82.4125212 36.1471244),4717190362
471710804004,385,RO - Rooted Rural,36.1553533,-82.4003875,POINT (-82.40038749999999 36.1553533),4717190362
471710804005,352,HT - Small Town Simplicity,36.1502226,-82.3981714,POINT (-82.3981714 36.1502226),4717190362
471730401001,486,RO - Rural Bypasses,36.3114222,-83.7135183,POINT (-83.7135183 36.3114222),4717390554
471730401002,474,RO - Rooted Rural,36.2202079,-83.7224199,POINT (-83.72241990000001 36.2202079),4717390364
471730401003,509,RO - Rural Bypasses,36.1805383,-83.7659673,POINT (-83.7659673 36.1805383),4717391314
471730401004,653,RO - Southern Satellites,36.2058605,-83.7803753,POINT (-83.7803753 36.2058605),4717390364
471730401005,673,RO - Rooted Rural,36.2893174,-83.7677159,POINT (-83.7677159 36.2893174),4717390554
471730402011,520,RO - Southern Satellites,36.2673504,-83.8231272,POINT (-83.8231272 36.2673504),4717390554
471730402012,386,RO - Down the Road,36.2408383,-83.7781272,POINT (-83.7781272 36.2408383),4717390174
471730402013,479,HT - Small Town Simplicity,36.2223364,-83.8141204,POINT (-83.81412039999999 36.2223364),4717390174
471730402021,457,RO - Rooted Rural,36.2452365,-83.9328227,POINT (-83.9328227 36.2452365),4717390744
471730402022,579,RO - Rooted Rural,36.2342574,-83.8789326,POINT (-83.8789326 36.2342574),4717390744
471730402023,543,RO - Rooted Rural,36.1846311,-83.9099876,POINT (-83.90998759999999 36.1846311),4717391124
471730402024,776,RO - Southern Satellites,36.1910638,-83.8474629,POINT (-83.8474629 36.1910638),4717391124
471730403001,448,RO - Rooted Rural,36.3737737,-83.7877486,POINT (-83.7877486 36.3737737),4717390934
471730403002,594,RO - Rooted Rural,36.3407938,-83.8923832,POINT (-83.8923832 36.3407938),4717390934
471759250001,616,RO - Rooted Rural,35.6336139,-85.4836943,POINT (-85.4836943 35.6336139),4717590746
471759250002,425,RO - Rooted Rural,35.7524122,-85.3318316,POINT (-85.3318316 35.7524122),4717590556
471759252001,574,RO - Rooted Rural,35.7563186,-85.523919,POINT (-85.52391900000001 35.7563186),4717590366
471759252002,725,RO - Rural Bypasses,35.7381199,-85.4347001,POINT (-85.4347001 35.7381199),4717590176
471779301001,446,RO - Rooted Rural,35.7014385,-85.6470826,POINT (-85.6470826 35.7014385),4717791318
471779301002,473,RO - Southern Satellites,35.7270662,-85.7081203,POINT (-85.7081203 35.7270662),4717791318
471779301003,521,RO - Southern Satellites,35.7703187,-85.6530805,POINT (-85.6530805 35.7703187),4717791318
471779302001,581,RO - Rooted Rural,35.7881784,-85.7162613,POINT (-85.7162613 35.7881784),4717792078
471779302002,584,RO - Rooted Rural,35.7980589,-85.7720752,POINT (-85.7720752 35.7980589),4717792078
471779302003,593,RO - Southern Satellites,35.7625612,-85.8183247,POINT (-85.81832470000001 35.7625612),4717792078
471779302004,770,RO - Southern Satellites,35.805653,-85.8632601,POINT (-85.86326010000001 35.805653),4717792268
471779303001,453,RO - Rooted Rural,35.7461201,-85.9131676,POINT (-85.91316759999999 35.7461201),4717791888
471779303002,520,CCL - Salt of the Earth,35.7024864,-85.9357109,POINT (-85.9357109 35.7024864),4717791888
471779304001,673,CCL - Heartland Communities,35.7195986,-85.8381172,POINT (-85.8381172 35.7195986),4717792268
471779304002,498,HT - Traditional Living,35.7176457,-85.7986138,POINT (-85.7986138 35.7176457),4717792268
471779304003,740,HT - Traditional Living,35.6976186,-85.7945347,POINT (-85.7945347 35.6976186),4717790178
471779304004,709,HT - Small Town Simplicity,35.6863743,-85.7827837,POINT (-85.7827837 35.6863743),4717790178
471779305001,385,HT - Small Town Simplicity,35.6940031,-85.7746322,POINT (-85.7746322 35.6940031),4717790748
471779305002,565,HT - Small Town Simplicity,35.7061957,-85.7800575,POINT (-85.7800575 35.7061957),4717791128
471779305003,529,CCL - Heartland Communities,35.7106098,-85.7602761,POINT (-85.7602761 35.7106098),4717790748
471779305004,412,HT - Small Town Simplicity,35.6927025,-85.7610187,POINT (-85.76101869999999 35.6927025),4717790748
471779306001,679,HT - Small Town Simplicity,35.6868,-85.7433619,POINT (-85.7433619 35.6868),4717790938
471779306002,396,RO - Rooted Rural,35.659465,-85.7151318,POINT (-85.71513179999999 35.659465),4717791508
471779306003,591,RO - Rooted Rural,35.6559834,-85.7765856,POINT (-85.7765856 35.6559834),4717791508
471779307001,424,HT - Small Town Simplicity,35.6663296,-85.7897088,POINT (-85.7897088 35.6663296),4717790558
471779307002,824,CCL - Salt of the Earth,35.6755838,-85.8030248,POINT (-85.8030248 35.6755838),4717790368
471779307003,762,RO - Southern Satellites,35.6843823,-85.8424614,POINT (-85.8424614 35.6843823),4717790368
471779308001,767,RO - Southern Satellites,35.6421416,-85.9133409,POINT (-85.91334089999999 35.6421416),4717791698
471779308002,791,FL - Middleburg,35.5890603,-85.8952023,POINT (-85.89520229999999 35.5890603),4717791698
471779308003,804,CCL - Salt of the Earth,35.5846333,-85.8220846,POINT (-85.8220846 35.5846333),4717791698
471779309001,743,RO - Rooted Rural,35.5821145,-85.6828568,POINT (-85.6828568 35.5821145),4717791508
471790601001,476,MG - Old and Newcomers,36.3223791,-82.3544184,POINT (-82.3544184 36.3223791),4717990750
471790601002,668,MS - Set to Impress,36.3139452,-82.3607964,POINT (-82.3607964 36.3139452),4717990750
471790601003,531,HT - Small Town Simplicity,36.3201239,-82.3608877,POINT (-82.36088770000001 36.3201239),4717990750
471790604001,334,GX - In Style,36.3275479,-82.3704026,POINT (-82.37040260000001 36.3275479),4717990560
471790604002,418,SS - Retirement Communities,36.3377083,-82.3742696,POINT (-82.37426960000001 36.3377083),4717990560
471790604003,335,GX - Comfortable Empty Nesters,36.3314984,-82.3835747,POINT (-82.3835747 36.3314984),4717990560
471790604004,1215,GX - In Style,36.344497,-82.3948492,POINT (-82.3948492 36.344497),4717990560
